title,rent_fee,acreage,detail_address,description,link
"Phòng trọ nhà trọ ngõ 30 phú mỹ mỹ đình, giáp với lê đức thọ, Trần bình, giá rẻ",1.2,12 m²2,"16 Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội -Xem bản đồ","Tin đăng 16.1.25: Cho thuê phòng trọ giá rẻ, KHÔNG KHÉP KÍN. CÓ ĐIỀU HOÀ, NHẬN PHÒNG Sử dụng luôn bắt đầu từ 23.1.25 Phòng sạch sẽ, không gian thoáng mát, yên tĩnh, phù hợp học tập và nghỉ ngơi. An ninh tốt, sân rộng rãi, có mái che, để xe yên tâm miễn phí. Điện nước bình dân: điện 4K/1kwh, nước sinh hoạt 110k 1 tháng/ người, mạng Internet 70K/ tháng ( nếu dùng ). ĐC:Số 16 Ngõ 30 đường Phú Mỹ( gần hồ Phú Mỹ và Trường THPT Trí Đức). Giờ giấc QUẢN LÝ: để đảm bảo tài sản chung, nhà chủ : mở cổng 6h00 - khoá cổng 22h30 bằng KHOÁ RIÊNG của nhà chủ . Còn lại trong khung giờ ban ngày, sẽ sử dụng KHOÁ CHUNG, mỗi người có 1 chìa khoá. Liên hệ trực tiếp hoặc Zalo 0983386955",https://phongtro123.com/phong-tro-nha-tro-ngo-30-phu-my-le-duc-tho-tran-binh-my-dinh-gia-re-pr628260.html
"Phòng khép kín mặt phố Cự Lộc, Giá thuê từ 3tr/ tháng",4.8,30 m²2,"169 Phố Cự Lộc, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội -Xem bản đồ","Phòng khép kín tầng 3 phố Cự Lộc cho thuê ở lâu dài. Nội thất cơ bản Giường, tủ, nóng lạnh, điều hòa, tủ lạnh, máy giặt, kệ bếp, thang máy, cửa sổ thoáng rộng. Nhà xe tầng 1 rộng rãi, đi mở về khóa 24/24. Wifi, xe gửi miễn phí. Điện nước tính theo đồng hồ. Điện 4k/số, nước 30k/m3. Nhà thuộc khu vực an ninh tốt, gần các khu tiện ích, giao thông thuận tiện, không gian yên tĩnh. Giá thuê từ 4,5tr/ tháng. Thanh toán tối thiểu 03 tháng. Liên hệ : 0913 481 7 tám bốn.",https://phongtro123.com/phong-khep-kin-tang-2-mat-pho-cu-loc-pr595376.html
Cho thuê phòng trọ khép kín tại ngõ 97 Văn Cao ô tô đỗ cửa trước và sau,3,25 m²2,"Ngõ 97 Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội -Xem bản đồ","Chính chủ cho thuê dài hạn có thể làm văn phòng khép kín, nhà mái bằng DT 25 m2, khu dân trí cao, an ninh tốt, giao thông thuận tiện, gần các trường ĐH Luật, ĐH Ngoại thương, ĐH Ngoại giao..., 5 phút ra Hồ Tây, sân Quần ngựa, vườn Bách thảo, gần bể bơi 4 mùa Khăn quàng đỏ, nhà 2 mặt tiền ô tô đỗ cửa, tại ngõ 97 đường Văn Cao, quận Ba Đình, HN, có thêm lối vào từ ngõ 267 đường Hoàng Hoa Thám. Ưu tiên cho hộ gia đình, hộ kinh doanh online, làm văn phòng và/ hoặc kho hàng, sinh viên thuê. Giá thuê nhà nguyên trạng 3 tr. đ/ tháng, tiền điện và nước thanh toán trực tiếp với nhà cung cấp theo đơn giá qui định của Nhà nước. Khách thuê chủ động việc sửa chữa hoặc cải tạo nhà theo nhu cầu thuê. LH chính chủ 0903402826",https://phongtro123.com/cho-thue-phong-tro-khep-kin-tai-ngach-267-56-duong-hoang-hoa-tham-pr644498.html
"PHÒNG TRỌ FULL TIỆN NGHI TẠI BA ĐÌNH, HÀ NỘI",4.5,20 m²2,"7b Ngõ 31 Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội -Xem bản đồ","Phòng studio và gác xép mới đẹp, tiện nghi đầy đủ: Điều hòa, nóng lạnh, bếp mini. Không gian sáng thoáng, ban công chill ngắm cảnh. Có hầm để xe miễn phí, an ninh đảm bảo. Gần chợ, trường ĐH Thủ đô, siêu thị tiện lợi, giao thông thuận tiện. Địa chỉ: Phố Vĩnh Phúc, Ba Đình (gần Đội Cấn, Hoàng Quốc Việt). Liên hệ ngay 034.945.2222 để xem phòng!",https://phongtro123.com/phong-tro-full-tien-nghi-tai-ba-dinh-ha-noi-pr672360.html
"Cho thuê nhà trọ tầng 3 gồm 2 phòng ngủ, 1 vệ sinh",2.7,50 m²2,"Ngõ 199/2 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Nam Từ Liêm, Hà Nội -Xem bản đồ","Cần cho hộ gia đình hoặc sinh viên nữ gom ở chung nguyên tầng 3. Nhà cách đường Hồ Tùng Mậu 200m, cách ga tàu Cầu Diễn, bến xe buýt 200m Tổng diện tích 50m, gồm 2 phòng ngủ, 1 phòng vệ sinh. Đồ đạc đầy đủ gồm 1 tủ quần áo 5 cánh, 1 tủ quần áo 4 cánh, gường, tủ lạnh, tivi, điều hòa, nóng lạnh, máy giặt, có ban công. Nhà nhiều ánh sáng, đẹp Điện 3.5k/số, nước 80k/người, mạng100k, rác đóng tiền cho người đi thu. Giờ giấc tự do Thuê lẻ 1 phòng 2.7tr, 1 phòng 2.5tr, thuê cả 2 phòng 5tr Nhà chính chủ ko qua môi giới",https://phongtro123.com/cho-thue-nha-tro-tang-3-gom-2-phong-ngu-1-ve-sinh-pr672299.html
"Cho thuê phòng trọ giá hssv - Duy nhất 2 phòng cuối - Mỹ Đình, Nam Từ Liêm",4.7,28 m²2,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội -Xem bản đồ","Cho thuê phòng trọ giá hssv Mỹ Đình - Nam Từ Liêm Full nội thất Ban công rộng Đầy đủ tiện nghi Gần nhiều trường đại học Diện Tích 28-30m2 - Giá thuê : 4tr7 GIÁ DỊCH VỤ: điện 4k/số theo nhà nc tăng giảm - nước 35k/khối - dịch vụ chung (thang máy, điện kvuc chung, đổ rác ) = 100k/ng - mạng internet = 100k/phòng - máy giặt chung = 50k/ng/ tháng - FREE nước máy lọc RO nếu để máy giặt riêng trong phòng thì là 150k/ng CÁC THÔNG TIN KHÁC: - Nội thất,trang thiết bị đầy đủ mới 100% , có trang bị cả đèn sưởi đầy đủ - Phơi đồ ở tầng thượng hoặc ban công - không giới hạn xe - Có khu vực sạc và để xe điện riêng - Ngõ ba gác oto cách 100m - Nhà thang máy - Giới hạn người 4 người( hoặc hộ gia đình - PCCC đầy đủ - Hợp Đồng 6-12th đóng 1c1 - Fixx qua xem thương lượng",https://phongtro123.com/cho-thue-phong-tro-gia-hssv-duy-nhat-2-phong-cuoi-2-pr672969.html
"Cho Thuê Phòng Trọ 20m2 Gần Học Viện Nông Nghiệp, Giá 2tr",2,20 m²2,"Đường Cửu Việt, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội -Xem bản đồ","Phòng rộng 20m2 sẵn giường tủ Đ/c: Đường Cửu Việt, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội Có chỗ để xe, máy giặt Thanh toán 1 cọc 1 Giá thuê: 2tr/tháng LH: 0377724633",https://phongtro123.com/cho-thue-phong-tro-20m2-gan-hoc-vien-nong-nghiep-gia-2tr-pr673528.html
Phòng trọ mới xây vào ở được luôn tại số 5 ngõ 858 kim giang,3,25 m²2,"Số 5 ngõ 858 Đường Kim Giang, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội -Xem bản đồ","Nhà cấp 5 mới xây k chung chủ Đ/c: Số 5 ngõ 858 Đường Kim Giang, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội diện tích 25 m,gác xép 12 m đầy đủ nóng lạnh, kệ bếp giá 3tr/ tháng có fix. Lh 0366775998",https://phongtro123.com/phong-tro-moi-xay-vao-o-duoc-luon-tai-so-5-ngo-858-kim-giang-pr673496.html
"Chính chủ cho thuê phòng khép kín 16m2 tại ngõ 85 Hạ Đình, có điều hoà, nhà vệ sinh, an ninh tốt",2.5,16 m²2,"63 ngõ 85/42 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội -Xem bản đồ","Chính chủ cho thuê phòng khép kín Diện tích: 16m², điện nước đầy đủ, có điều hoà, vệ sinh khép kín, an ninh tốt, gần chợ và các trường đại học lớn... Giá 2tr5/tháng Địa chỉ: Tổ 24 số nhà 63 ngõ 85/42 phố Hạ Đình, Hà Nội. LH: Cô Hiền 0376 452 465",https://phongtro123.com/chinh-chu-cho-thue-phong-khep-kin-16m2-tai-ngo-85-ha-dinh-co-dieu-hoa-nha-ve-sinh-an-ninh-tot-pr673341.html
"Cho thuê trọ tại 70 ngõ 1 Đường Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",2.2,17 m²2,"70 ngõ 1 Đường Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội -Xem bản đồ","Không chung chủ, chỗ để xe thoải mái, phòng tám có bình nóng lạnh, wifi, ban công, khu bếp, camera an ninh, điện nước có công tơ đo riêng Phòng 17m2 giá thuê 2,2 Triệu/Tháng Tại 70 ngõ 1 Đường Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội Liên hệ: 0913501830",https://phongtro123.com/cho-thue-tro-pr603914.html
Thuê nhà ngõ 320 khương đình - nhà mới chủ dễ tính,5,37 m²2,"320 Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội -Xem bản đồ","Nằm trong ngõ 320 khương đình, gần công an phường nên an ninh rất tốt Gần trường cấp 1,2 khương đình Gần chợ, gia đình nhỏ hay sinh viên ở rất hợp lí Có thang máy mới rất tiện nghi và hiện đại Nhà mới chưa ai ở nên rất đẹp",https://phongtro123.com/thue-nha-ngo-320-khuong-dinh-nha-moi-chu-de-tinh-pr673330.html
"Cho thuê phòng trọ tại Yên Hòa, Cầu Giấy đầy đủ đồ giá 4,6 triệu. Lh 0902245148",4.6,35 m²2,"18 Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội -Xem bản đồ","Chính chủ nhà mình cần cho thuê phòng trọ tại Yên Hòa , Cầu Giấy - Phòng đã có đầy đủ đồ nội thất: Vệ sinh khép kín, Giường , tủ quần áo, bàn trang điểm, điều hòa, nóng lạnh, tủ bếp trên và tủ bếp dưới, máy hút mùi - Có máy giặt và máy sấy quần áo cực thuận tiện - Lắp sẵn wifi riêng từng phòng, cửa vân tay, camera an ninh - Giá cho thuê : 4,6 triệu/phòng/tháng Liên hệ chính chủ. Xin cảm ơn! SDT chủ nhà 0902245148",https://phongtro123.com/cho-thue-phong-tro-tai-yen-hoa-cau-giay-day-du-do-gia-4-6-trieu-lh-0902245148-pr673276.html
"HOMESTAY ĐẠI HỌC HÀ NỘI, CHỈ CHO NỮ THUÊ",1.6,20 m²2,"14 ngõ A8 Đường Lê Văn Lương, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội -Xem bản đồ","Nhà chính chủ khu vực gần đại học Hanoi, Học viện an ninh, Đại học Kiến Trúc... (cách Hanu 50m) - Phòng ghép 4 người, không chung giường, tủ đồ, bàn học - Không chung chủ - Full nội thất - Tầng 1 có chỗ để xe, pccc đầy đủ - Tuần 1 lần dọn dẹp sạch sẽ - Giá trên đã bao gồm mọi chi phí không phát sinh CHỈ CHO NỮ THUÊ!!! Ib mình để biết thêm chi tiết ạ 0694087022",https://phongtro123.com/homstay-dai-hoc-ha-noi-chi-cho-nu-thue-2-pr673114.html
"KHAI TRƯƠNG CCMN XỊN SÒ PHẠM VĂN ĐỒNG, BẮC TỪ LIÊM",5.5,30 m²2,"số 47 ngõ 521 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội -Xem bản đồ","KHAI TRƯƠNG CCMN XỊN SÒ PHẠM VĂN ĐỒNG, BẮC TỪ LIÊM Studio 30m2 có ban công Đối diện Mega market, Tòa A6 Bình An City, Green Star, Vincom PVĐ Nội thất : Điều hòa , Bình Nóng Lạnh , Tủ Quần Áo, Kệ Bếp + Tủ bếp trên - dưới, HÚT MÙI , Máy giặt chung, sẵn TỦ LẠNH, bếp điện đôi Giá: 5tr5 LH: 0383793354",https://phongtro123.com/khai-truong-ccmn-xin-so-pham-van-dong-tran-cung-pr673127.html
"CHO THUÊ PHÒNG TRỌ, NHÀ Ở GIÁ HỢP LÝ TẠI TRÂU QUỲ, GIA LÂM, HÀ NỘI",1.8,17 m²2,"11 Trâu Quỳ, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội -Xem bản đồ","CHO THUÊ PHÒNG TRỌ, NHÀ Ở GIÁ RẺ TẠI TRÂU QUỲ, GIA LÂM, HÀ NỘI Gần Học viện Nông Nghiệp. Diện tích từ 16 m2, gần chợ, gần trường học, gần BV Đa Khoa Gia Lâm. Có sẵn điều hòa, giường, quạt trần, hệ thống bàn bếp, giá đựng bát đũa và bình nóng lạnh. Ngoài ra, mỗi tầng có 01 máy giặt chung. KDC yên tĩnh, an ninh, hàng xóm thân thiện. Ưu tiên cho những anh/chị nào có thiện chí và thuê ở lâu dài. Giá thuê: từ 1,8 triệu/tháng LH: Chị Hằng 0988.265.942",https://phongtro123.com/cho-thue-phong-tro-nha-o-gia-re-tai-trau-quy-gan-hoc-vien-nong-nghiep-tien-nghi-day-du-pr659823.html
"Cho thuê nhà Mỹ Đình, giá rẻ full đồ",4.2,20 m²2,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội -Xem bản đồ","Đầy đủ nội thất Gần nhiều trường đại học View đẹp Vị trí tiện lợi ( gần trung tâm , quán ăn , khu chơi - giải trí ) ️Trống 1 phòng Giá : 4tr3 - Diện tích: 20m2 Giá dịch vụ : - Dịch vụ 150K/người (vệ sinh chung, thang máy, rác, điện chung, gửi xe..) - Internet tách 100K/phòng - Điện 4K/số - Nước 35K/khối Thông tin khác : - Ở tối đa 2 ng, 2 xe - Ko nuôi pet - Ko xe điện - Nội thất như hình - Máy giặt riêng , thang máy - Hđ tối thiểu 6 tháng",https://phongtro123.com/cho-thue-nha-my-dinh-gia-re-full-do-pr672995.html
"Thuê nhà/phòng trọ Gia Lâm, Hà Nội",2,35 m²2,"Thiên Đức, Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội -Xem bản đồ","Cho thuê phòng trọ ở lâu dài tại khu vực Gia Lâm, Hà Nội (đầu Cầu Đuống, mặt đường quốc lộ, gần chợ, gần bến xe buýt, đi lại thuận tiện). Phòng trọ có công trình phụ khép kín, mát mẻ, sạch sẽ hợp vệ sinh. Phòng ngủ rộng 20m2, phòng ăn và bếp 15m2. Nhà vệ sinh có sẵn vòi tắm sen, bình nóng lạnh. Có sẵn máy giặt, tủ lạnh. Điện, nước có đồng hồ riêng, có internet, truyền hình cáp. Giá rẻ 2 triệu, phòng đẹp như ở chung cư mới. Phù hợp cho những gia đình làm công nhân, cặp vợ chồng có con nhỏ. Liên hệ với chị Lê Thị Thủy: 0911072968 (LH ngoài giờ hành chính).",https://phongtro123.com/thue-nha-phong-tro-gia-lam-ha-noi-pr672955.html
Cho thuê phòng trọ khép kín 30m2 giá rẻ,5,30 m²2,"20 Hoàng Đạo Thành, Phường Kim Giang, Quận Thanh Xuân, Hà Nội -Xem bản đồ","HO THUÊ PHÒNG KHÉP KÍN 30M² - TIỆN NGHI, VỊ TRÍ ĐẮC ĐỊA TẠI THANH XUÂN Địa chỉ: Số 20 Hoàng Đạo Thành, Kim Giang, Thanh Xuân, Hà Nội. Phòng khép kín diện tích 30m², thiết kế linh hoạt có thể chia thành 2 phòng, phù hợp cho gia đình nhỏ, nhóm bạn hoặc người đi làm cần không gian sống thoải mái. Ưu điểm nổi bật: Vệ sinh và bếp riêng biệt: Mang lại sự tiện nghi và riêng tư tối đa. Vị trí trung tâm: Gần chợ Kim Giang, thuận tiện cho việc mua sắm hàng ngày. Chỉ vài phút đến các trường học: Trường Tiểu học & THCS Kim Giang. Đại học Thăng Long, thuận lợi cho sinh viên. Gần ngã tư Sở, dễ dàng di chuyển đến các khu vực lân cận. An ninh đảm bảo: Khu dân cư yên tĩnh, an toàn, giao thông thuận tiện. Giá thuê hợp lý Liên hệ trực tiếp để biết thêm chi tiết và hẹn xem phòng. Số điện thoại: [0904993881].",https://phongtro123.com/cho-thue-phong-tro-khep-kin-30m2-gia-re-pr672793.html
"Phòng đẹp ngõ 24 Kim Đồng (hoặc 700 Trương Định) Giáp Bát, Hoàng Mai, HN",2.8,20 m²2,"24/83 Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội -Xem bản đồ","Phòng đẹp mặt ngõ 24 Kim Đồng (BX Giáp Bát) ngã 4 Trương Định-Tân Mai còn: - Phòng đẹp 20m giá 2,8tr (Điều hoà, Nóng lạnh, Kệ bếp, Máy giặt, giường tủ, cửa sổ thoáng) Phù hợp công sở, SV nữ và hộ gia đình thuê gần ĐH KTQD, ĐHBK, ĐHXD, oto đỗ cửa, ngõ to dân trí cao, an ninh tốt, đi khoá về mở, sân phơi tầng5, để xe miễn phí tầng1 LH : Ngõ 24/83 Kim Đồng(sau BX Giáp Bát)-Hoàng Mai-HN SĐT 0948515885",https://phongtro123.com/phong-dep-ngo-24-kim-dong-hoac-700-truong-dinh-giap-bat-hoang-mai-hn-2-pr672375.html
Pass trọ yên xá 87/76 cuối tháng 12 đầu tháng 1 ạ,3,25 m²2,"7B 87/76 Đường Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội -Xem bản đồ","Pass trọ 3tr / tháng , yên xá ạ Có máy giặt riêng , tủ lạnh , tủ quần áo Điện 3k8, nước 35k/số, mạng 100/phòng , dv 40k/ng để xe free ạ Liên hệ: 0376051340",https://phongtro123.com/pass-tro-yen-xa-87-76-cuoi-thang-12-dau-thang-1-a-pr672367.html
